,timestamp,category,state,customer,product,scaled_price,rating
700,2017-08-24 11:31:28,49,22,44869,23910,-0.4118841355618991,0
5075,2017-08-05 14:52:23,49,22,2937,1466,-0.5332914632424851,1
23537,2017-09-30 14:48:37,49,22,42130,27460,-0.3424327821725683,1
37160,2017-08-28 20:15:12,49,22,18783,27104,-0.4290614168581916,0
39136,2018-06-06 17:30:59,49,22,81457,21065,-0.3221805554590382,1
41264,2017-07-18 09:32:43,49,22,42566,17890,-0.3728641385431606,0
41416,2017-11-15 10:42:57,49,22,3203,18168,-0.3728641385431606,0
43240,2017-08-18 05:17:47,49,22,43891,6201,-0.4290614168581916,0
43392,2018-04-11 21:46:38,49,22,18801,23581,-0.5115547801206334,0
45304,2018-03-27 14:04:31,49,22,79098,24445,-0.48504662997203385,1
46006,2018-06-07 17:52:27,49,22,88530,18467,0.02921148291079753,0
47176,2018-06-02 12:54:29,49,22,47666,18467,0.02921148291079753,1
47254,2018-05-30 09:46:25,49,22,11690,18467,0.02921148291079753,0
47878,2018-04-30 09:13:44,49,22,5201,15793,1.4553499609054537,0
47956,2018-05-16 18:26:55,49,22,26150,15793,1.4553499609054537,1
48294,2017-10-07 14:59:27,49,22,2943,23865,-0.20936186842659849,1
48892,2017-09-02 22:37:04,49,22,63966,23865,-0.20936186842659849,1
50634,2018-06-30 17:41:19,49,22,79536,24410,-0.2623781687237976,0
51412,2017-12-03 19:22:06,49,8,3625,9570,-0.46437027285612625,1
52546,2017-06-14 06:49:48,49,8,4143,18964,-0.3424327821725683,1
55234,2017-10-06 18:38:28,49,22,84166,28745,-0.5279898332127652,0
56158,2017-07-08 16:35:21,49,22,90727,31224,-0.37954419238060766,1
57478,2017-07-26 15:38:35,49,22,59074,31224,-0.358337672261728,1
62626,2018-06-22 11:10:34,49,22,7954,26647,-0.5226882031830453,0
62956,2018-07-19 01:35:59,49,22,10026,26647,-0.5173865731533254,0
65464,2018-03-28 08:53:37,49,22,38124,18139,-0.4855767929750059,0
71734,2018-03-28 12:34:09,49,22,31969,16688,-0.20936186842659849,1
72108,2017-05-01 13:01:41,49,22,17421,11464,-0.2623781687237976,0
74913,2017-05-22 14:21:42,49,22,41877,11464,-0.2623781687237976,0
75100,2018-02-25 15:39:46,49,22,26208,11464,-0.24117164860491794,1
77718,2017-03-15 12:56:04,49,22,49842,27500,-0.15634556812939937,1
78279,2018-08-07 17:47:15,49,22,31704,13648,-0.2894164818753691,0
82206,2018-05-19 20:21:59,49,22,12143,506,-0.3153944690209967,0
85324,2018-07-29 12:29:19,49,8,38061,26515,-0.45906864282640636,0
87668,2017-06-22 01:20:28,49,22,26060,20817,-0.4378621227075267,0
87804,2017-05-05 10:40:36,49,22,72357,17728,-0.45906864282640636,1
89619,2018-02-21 22:29:10,49,22,9115,19229,-0.1872010549023692,1
89815,2017-05-08 00:45:17,49,22,64082,206,-0.024334980389373543,0
92660,2018-01-11 14:56:58,49,22,44898,8506,-0.34773441220228823,0
92808,2017-11-13 21:29:03,49,22,27408,8506,-0.34773441220228823,1
93622,2017-06-23 13:00:47,49,22,40701,8506,-0.3424327821725683,1
95176,2018-01-31 23:31:40,49,22,81004,8506,-0.34773441220228823,1
95916,2017-06-19 10:08:05,49,22,10773,8506,-0.3424327821725683,0
102206,2017-06-01 07:29:41,49,22,10470,8506,-0.3424327821725683,1
102650,2017-10-06 22:18:54,49,22,29973,8506,-0.3424327821725683,1
105832,2017-08-11 22:03:25,49,22,6335,32214,-0.5894357252572189,1
107288,2018-07-17 19:09:44,49,16,599,135,-0.5385930932722051,0
111769,2017-03-12 09:38:04,49,22,4010,20857,-0.6128159136882837,1
112889,2018-05-19 21:05:53,49,22,1244,18002,-0.3514985695233893,1
113029,2017-09-15 14:45:57,49,22,39134,10352,-0.5884284155515721,0
113309,2017-09-15 14:45:57,49,22,39134,5067,-0.5927227358756453,0
113449,2018-03-16 12:03:48,49,22,17411,2030,1.5131377282294007,0
116389,2017-05-21 08:04:02,49,22,26087,872,0.3997954219882194,1
119189,2017-08-22 20:12:44,49,22,65578,27318,-0.3954490824697674,0
123669,2017-05-07 13:05:13,49,22,63326,18261,-0.6128159136882837,0
125827,2017-10-13 07:17:42,49,8,88382,7235,-0.2894164818753691,1
138021,2018-07-24 09:03:34,49,22,9661,20440,0.3997954219882194,0
149561,2018-03-22 16:59:33,49,22,10588,6479,-0.5212037467747237,0
150782,2017-05-22 19:49:12,49,22,3666,30344,0.5805810060016683,1
151004,2017-03-04 16:07:37,49,22,33488,4560,-0.13885018903132368,0
151189,2017-03-02 15:22:55,49,22,18912,28861,-0.13885018903132368,1
151559,2017-01-30 09:39:54,49,22,79947,16079,-0.2189048024800943,0
152040,2017-09-08 15:41:01,49,22,7455,26960,0.23597505406987407,1
152262,2017-08-29 19:33:28,49,22,28536,29283,-0.47868467393636993,1
